word,sentence1,sentence2,same,ambiguity_type,Class,mean_relatedness,string
act,It was a desperate act.,It was a magic act.,False,Polysemy,N,2.181818182,act
act,It was a desperate act.,It was a comedic act.,False,Polysemy,N,2.0,act
act,It was a humane act.,It was a magic act.,False,Polysemy,N,2.818181818,act
act,It was a humane act.,It was a comedic act.,False,Polysemy,N,2.80952381,act
act,It was a desperate act.,It was a humane act.,True,Polysemy,N,3.9,act
act,It was a magic act.,It was a comedic act.,True,Polysemy,N,3.764705882,act
appeal,He had a universal appeal.,He had a legal appeal.,False,Polysemy,N,1.571428571,appeal
appeal,He had a universal appeal.,He had a pending appeal.,False,Polysemy,N,1.0,appeal
appeal,He had an undefinable appeal.,He had a legal appeal.,False,Polysemy,N,1.235294118,appeal
appeal,He had an undefinable appeal.,He had a pending appeal.,False,Polysemy,N,0.714285714,appeal
appeal,He had a universal appeal.,He had an undefinable appeal.,True,Polysemy,N,3.7,appeal
appeal,He had a legal appeal.,He had a pending appeal.,True,Polysemy,N,3.272727273,appeal
atmosphere,It was a tense atmosphere.,It was a gaseous atmosphere.,False,Polysemy,N,1.214285714,atmosphere
atmosphere,It was a tense atmosphere.,It was a polluted atmosphere.,False,Polysemy,N,1.846153846,atmosphere
atmosphere,It was a hostile atmosphere.,It was a gaseous atmosphere.,False,Polysemy,N,1.538461538,atmosphere
atmosphere,It was a hostile atmosphere.,It was a polluted atmosphere.,False,Polysemy,N,2.181818182,atmosphere
atmosphere,It was a tense atmosphere.,It was a hostile atmosphere.,True,Polysemy,N,4.0,atmosphere
atmosphere,It was a gaseous atmosphere.,It was a polluted atmosphere.,True,Polysemy,N,3.466666667,atmosphere
bail,He bailed out the prisoner.,He bailed out the water.,False,Homonymy,V,0.894736842,bailed
bail,He bailed out the prisoner.,He bailed out the liquid.,False,Homonymy,V,0.666666667,bailed
bail,He bailed out the defendant.,He bailed out the water.,False,Homonymy,V,0.75,bailed
bail,He bailed out the defendant.,He bailed out the liquid.,False,Homonymy,V,0.764705882,bailed
bail,He bailed out the prisoner.,He bailed out the defendant.,True,Homonymy,V,3.083333333,bailed
bail,He bailed out the water.,He bailed out the liquid.,True,Homonymy,V,3.083333333,bailed
band,It was a gold band.,It was a jazz band.,False,Homonymy,N,0.2,band
band,It was a gold band.,It was a country band.,False,Homonymy,N,0.384615385,band
band,It was a rubber band.,It was a jazz band.,False,Homonymy,N,0.333333333,band
band,It was a rubber band.,It was a country band.,False,Homonymy,N,0.1,band
band,It was a gold band.,It was a rubber band.,True,Homonymy,N,2.526315789,band
band,It was a jazz band.,It was a country band.,True,Homonymy,N,4.0,band
bank,He banked the plane.,He banked the money.,False,Homonymy,V,1.0,banked
bank,He banked the plane.,He banked the cash.,False,Homonymy,V,0.733333333,banked
bank,He banked the helicopter.,He banked the money.,False,Homonymy,V,0.6,banked
bank,He banked the helicopter.,He banked the cash.,False,Homonymy,V,1.375,banked
bank,He banked the plane.,He banked the helicopter.,True,Homonymy,V,3.333333333,banked
bank,He banked the money.,He banked the cash.,True,Homonymy,V,3.533333333,banked
barrier,There was a police barrier.,There was a language barrier.,False,Polysemy,N,1.333333333,barrier
barrier,There was a police barrier.,There was a religious barrier.,False,Polysemy,N,1.266666667,barrier
barrier,There was a concrete barrier.,There was a language barrier.,False,Polysemy,N,1.692307692,barrier
barrier,There was a concrete barrier.,There was a religious barrier.,False,Polysemy,N,1.727272727,barrier
barrier,There was a police barrier.,There was a concrete barrier.,True,Polysemy,N,2.923076923,barrier
barrier,There was a language barrier.,There was a religious barrier.,True,Polysemy,N,3.538461538,barrier
bat,He saw a furry bat.,He saw a wooden bat.,False,Homonymy,N,0.0,bat
bat,He saw a furry bat.,He saw a baseball bat.,False,Homonymy,N,0.5,bat
bat,He saw a fruit bat.,He saw a wooden bat.,False,Homonymy,N,0.2,bat
bat,He saw a fruit bat.,He saw a baseball bat.,False,Homonymy,N,0.083333333,bat
bat,He saw a furry bat.,He saw a fruit bat.,True,Homonymy,N,3.55,bat
bat,He saw a wooden bat.,He saw a baseball bat.,True,Homonymy,N,3.545454545,bat
beam,He saw the laser beam.,He saw the wood beam.,False,Polysemy,N,1.142857143,beam
beam,He saw the laser beam.,He saw the balance beam.,False,Polysemy,N,0.833333333,beam
beam,He saw the bright beam.,He saw the wood beam.,False,Polysemy,N,0.555555556,beam
beam,He saw the bright beam.,He saw the balance beam.,False,Polysemy,N,0.363636364,beam
beam,He saw the laser beam.,He saw the bright beam.,True,Polysemy,N,3.545454545,beam
beam,He saw the wood beam.,He saw the balance beam.,True,Polysemy,N,2.6,beam
block,She had a toy block.,She had a mental block.,False,Polysemy,N,0.538461538,block
block,She had a toy block.,She had a writer's block.,False,Polysemy,N,0.133333333,block
block,She had a wooden block.,She had a mental block.,False,Polysemy,N,1.0,block
block,She had a wooden block.,She had a writer's block.,False,Polysemy,N,0.2,block
block,She had a toy block.,She had a wooden block.,True,Polysemy,N,3.8,block
block,She had a mental block.,She had a writer's block.,True,Polysemy,N,3.181818182,block
blood,He has coagulated blood.,He has noble blood.,False,Polysemy,N,1.6,blood
blood,He has coagulated blood.,He has royal blood.,False,Polysemy,N,2.5,blood
blood,He has thin blood.,He has noble blood.,False,Polysemy,N,2.222222222,blood
blood,He has thin blood.,He has royal blood.,False,Polysemy,N,2.214285714,blood
blood,He has coagulated blood.,He has thin blood.,True,Polysemy,N,3.631578947,blood
blood,He has noble blood.,He has royal blood.,True,Polysemy,N,3.583333333,blood
board,It was the ironing board.,It was the executive board.,False,Polysemy,N,0.066666667,board
board,It was the ironing board.,It was the school board.,False,Polysemy,N,0.416666667,board
board,It was the wooden board.,It was the executive board.,False,Polysemy,N,0.25,board
board,It was the wooden board.,It was the school board.,False,Polysemy,N,0.6,board
board,It was the ironing board.,It was the wooden board.,True,Polysemy,N,2.625,board
board,It was the executive board.,It was the school board.,True,Polysemy,N,3.666666667,board
book,He had a best-selling book.,He had a heavy book.,False,Polysemy,N,3.692307692,book
book,He had a best-selling book.,He had a leather-bound book.,False,Polysemy,N,3.357142857,book
book,He had a popular book.,He had a heavy book.,False,Polysemy,N,4.0,book
book,He had a popular book.,He had a leather-bound book.,False,Polysemy,N,3.818181818,book
book,He had a best-selling book.,He had a popular book.,True,Polysemy,N,4.0,book
book,He had a heavy book.,He had a leather-bound book.,True,Polysemy,N,3.75,book
break,He broke the glass.,He broke the law.,False,Polysemy,V,1.733333333,broke
break,He broke the glass.,He broke the promise.,False,Polysemy,V,2.357142857,broke
break,He broke the dish.,He broke the law.,False,Polysemy,V,2.3,broke
break,He broke the dish.,He broke the promise.,False,Polysemy,V,2.3,broke
break,He broke the glass.,He broke the dish.,True,Polysemy,V,4.0,broke
break,He broke the law.,He broke the promise.,True,Polysemy,V,3.692307692,broke
breakfast,They ate a pancake breakfast.,They ate a family breakfast.,False,Polysemy,N,3.785714286,breakfast
breakfast,They ate a pancake breakfast.,They ate a lonely breakfast.,False,Polysemy,N,3.941176471,breakfast
breakfast,They ate a nutritious breakfast.,They ate a family breakfast.,False,Polysemy,N,3.666666667,breakfast
breakfast,They ate a nutritious breakfast.,They ate a lonely breakfast.,False,Polysemy,N,3.333333333,breakfast
breakfast,They ate a pancake breakfast.,They ate a nutritious breakfast.,True,Polysemy,N,4.0,breakfast
breakfast,They ate a family breakfast.,They ate a lonely breakfast.,True,Polysemy,N,3.8,breakfast
call,They called the landlord.,They called the loan.,False,Polysemy,V,1.222222222,called
call,They called the landlord.,They called the debt.,False,Polysemy,V,1.3,called
call,They called the police.,They called the loan.,False,Polysemy,V,1.357142857,called
call,They called the police.,They called the debt.,False,Polysemy,V,1.0,called
call,They called the landlord.,They called the police.,True,Polysemy,V,3.866666667,called
call,They called the loan.,They called the debt.,True,Polysemy,V,3.076923077,called
cape,It was a red cape.,It was a rocky cape.,False,Homonymy,N,0.090909091,cape
cape,It was a red cape.,It was an island cape.,False,Homonymy,N,0.181818182,cape
cape,It was a flowing cape.,It was a rocky cape.,False,Homonymy,N,1.0,cape
cape,It was a flowing cape.,It was an island cape.,False,Homonymy,N,0.428571429,cape
cape,It was a red cape.,It was a flowing cape.,True,Homonymy,N,3.266666667,cape
cape,It was a rocky cape.,It was an island cape.,True,Homonymy,N,2.866666667,cape
case,It was a beer case.,It was a divorce case.,False,Homonymy,N,0.166666667,case
case,It was a beer case.,It was a criminal case.,False,Homonymy,N,0.4,case
case,It was a display case.,It was a divorce case.,False,Homonymy,N,0.25,case
case,It was a display case.,It was a criminal case.,False,Homonymy,N,0.363636364,case
case,It was a beer case.,It was a display case.,True,Homonymy,N,1.75,case
case,It was a divorce case.,It was a criminal case.,True,Homonymy,N,3.928571429,case
cast,She cast a shadow.,She cast a spear.,False,Polysemy,V,0.909090909,cast
cast,She cast a shadow.,She cast a stone.,False,Polysemy,V,1.142857143,cast
cast,She cast a glow.,She cast a spear.,False,Polysemy,V,1.461538462,cast
cast,She cast a glow.,She cast a stone.,False,Polysemy,V,0.941176471,cast
cast,She cast a shadow.,She cast a glow.,True,Polysemy,V,3.285714286,cast
cast,She cast a spear.,She cast a stone.,True,Polysemy,V,3.2,cast
cause,It was a worthy cause.,It was a main cause.,False,Polysemy,N,2.272727273,cause
cause,It was a worthy cause.,It was a primary cause.,False,Polysemy,N,2.352941176,cause
cause,It was a political cause.,It was a main cause.,False,Polysemy,N,2.5,cause
cause,It was a political cause.,It was a primary cause.,False,Polysemy,N,2.071428571,cause
cause,It was a worthy cause.,It was a political cause.,True,Polysemy,N,3.461538462,cause
cause,It was a main cause.,It was a primary cause.,True,Polysemy,N,4.0,cause
cell,It was a skin cell.,It was a prison cell.,False,Polysemy,N,0.2,cell
cell,It was a skin cell.,It was a jail cell.,False,Polysemy,N,0.428571429,cell
cell,It was a brain cell.,It was a prison cell.,False,Polysemy,N,0.272727273,cell
cell,It was a brain cell.,It was a jail cell.,False,Polysemy,N,0.133333333,cell
