"","List","Word","Same_sense","Sentence_1","Sentence_2","Sense_id_s1","Sense_id_s2","Gender_s1","Gender_s2","mean_relatedness","sd_relatedness","median_relatedness","count"
"1",1,"aceite","Different Sense","Compró el aceite de oliva","Compró el aceite de motor",1,2,"male","male",3.17647058823529,1.66715679067863,4,17
"2",1,"aceite","Same Sense","Compró el aceite de motor","Compró el aceite de carro",2,2,"male","male",4.64705882352941,0.606339062590832,5,17
"3",1,"aceite","Same Sense","Compró el aceite de oliva","Compró el aceite de cocina",1,1,"male","male",4.76470588235294,0.437237316097603,5,17
"4",1,"ala","Same Sense","Le gustó el ala sureste","Le gustó el ala remodelada",1,1,"female","female",4.64705882352941,0.701888209634219,5,17
"5",1,"algodón","Different Sense","Evaluó el algodón sembrado","Evaluó el algodón endulzado",1,2,"male","male",2.88235294117647,1.76360259629177,3,17
"6",1,"algodón","Same Sense","Evaluó el algodón cultivado","Evaluó el algodón sembrado",1,1,"male","male",4.76470588235294,0.562295714538387,5,17
"7",1,"arte","Same Sense","Se trataba del arte renacentista","Se trataba del arte abstracto",2,2,"male","male",4.47058823529412,1.32842232831014,5,17
"8",1,"banco","Different Sense","Era un banco financiero","Era un banco plástico",1,2,"male","male",1.29411764705882,0.587867532097255,1,17
"9",1,"caja","Different Sense","Ella vio la caja registradora","Ella vio la caja percusiva",1,3,"female","female",2,1.11803398874989,2,17
"10",1,"caja","Different Sense","Ella vio la caja registradora","Ella vio la caja sellada",1,2,"female","female",2.70588235294118,1.35852428586835,2,17
"11",1,"cámara","Different Sense","Se trataba de la cámara gubernamental","Se trataba de la cámara digital",1,2,"female","female",1.23529411764706,0.437237316097603,1,17
"12",1,"cámara","Different Sense","Se trataba de la cámara gubernamental","Se trataba de la cámara principal",1,3,"female","female",2.94117647058824,1.47777654921567,3,17
"13",1,"cámara","Different Sense","Se trataba de la cámara senatorial","Se trataba de la cámara digital",1,2,"female","female",1.47058823529412,1.12459142907677,1,17
"14",1,"cámara","Different Sense","Se trataba de la cámara senatorial","Se trataba de la cámara principal",1,3,"female","female",3.05882352941176,1.56007164239716,3,17
"15",1,"campo","Same Sense","Era un campo competitivo","Era un campo biológico",1,1,"male","male",2.64705882352941,1.57881191369445,2,17
"16",1,"carrera","Different Sense","Fue una carrera académica","Fue una carrera benéfica",1,2,"female","female",1.88235294117647,1.53632487373181,1,17
"17",1,"casco","Different Sense","Le gustó el casco de la ciclista","Le gustó el casco urbano",1,2,"male","male",1.29411764705882,0.587867532097255,1,17
"18",1,"casco","Same Sense","Le gustó el casco urbano","Le gustó el casco de la ciudad",2,2,"male","male",4.11764705882353,1.53632487373181,5,17
