,Word,Model,Target_tokens,Num_tokens_s1,Num_tokens_s2
0,aceite,bert-base-spanish-wwm-cased,[9536],8,8
0,aceite,bert-base-spanish-wwm-cased,[9536],8,8
0,aceite,bert-base-spanish-wwm-cased,[9536],8,8
0,aceite,bert-base-spanish-wwm-cased,[9536],8,8
0,aceite,bert-base-spanish-wwm-cased,[9536],8,8
0,aceite,bert-base-spanish-wwm-cased,[9536],8,8
0,ala,bert-base-spanish-wwm-cased,[13666],7,8
0,ala,bert-base-spanish-wwm-cased,[13666],7,9
0,ala,bert-base-spanish-wwm-cased,[13666],7,8
0,ala,bert-base-spanish-wwm-cased,[13666],8,9
0,ala,bert-base-spanish-wwm-cased,[13666],8,8
0,ala,bert-base-spanish-wwm-cased,[13666],9,8
0,algodón,bert-base-spanish-wwm-cased,[14762],9,9
0,algodón,bert-base-spanish-wwm-cased,[14762],9,10
0,algodón,bert-base-spanish-wwm-cased,[14762],9,10
0,algodón,bert-base-spanish-wwm-cased,[14762],9,10
0,algodón,bert-base-spanish-wwm-cased,[14762],9,10
0,algodón,bert-base-spanish-wwm-cased,[14762],10,10
0,arte,bert-base-spanish-wwm-cased,[4868],8,8
0,arte,bert-base-spanish-wwm-cased,[4868],8,9
0,arte,bert-base-spanish-wwm-cased,[4868],8,8
0,arte,bert-base-spanish-wwm-cased,[4868],8,9
0,arte,bert-base-spanish-wwm-cased,[4868],8,8
0,arte,bert-base-spanish-wwm-cased,[4868],9,8
0,banco,bert-base-spanish-wwm-cased,[6067],6,6
0,banco,bert-base-spanish-wwm-cased,[6067],6,6
0,banco,bert-base-spanish-wwm-cased,[6067],6,6
0,banco,bert-base-spanish-wwm-cased,[6067],6,6
0,banco,bert-base-spanish-wwm-cased,[6067],6,6
0,banco,bert-base-spanish-wwm-cased,[6067],6,6
0,baño,bert-base-spanish-wwm-cased,[5752],7,7
0,baño,bert-base-spanish-wwm-cased,[5752],7,8
0,baño,bert-base-spanish-wwm-cased,[5752],7,7
0,baño,bert-base-spanish-wwm-cased,[5752],7,8
0,baño,bert-base-spanish-wwm-cased,[5752],7,7
0,baño,bert-base-spanish-wwm-cased,[5752],8,7
0,cadena,bert-base-spanish-wwm-cased,[7343],7,6
0,cadena,bert-base-spanish-wwm-cased,[7343],7,7
0,cadena,bert-base-spanish-wwm-cased,[7343],7,8
0,cadena,bert-base-spanish-wwm-cased,[7343],7,7
0,cadena,bert-base-spanish-wwm-cased,[7343],7,6
0,cadena,bert-base-spanish-wwm-cased,[7343],6,7
0,cadena,bert-base-spanish-wwm-cased,[7343],6,8
0,cadena,bert-base-spanish-wwm-cased,[7343],6,7
0,cadena,bert-base-spanish-wwm-cased,[7343],6,6
0,cadena,bert-base-spanish-wwm-cased,[7343],7,8
0,cadena,bert-base-spanish-wwm-cased,[7343],7,7
0,cadena,bert-base-spanish-wwm-cased,[7343],7,6
0,cadena,bert-base-spanish-wwm-cased,[7343],8,7
0,cadena,bert-base-spanish-wwm-cased,[7343],8,6
0,cadena,bert-base-spanish-wwm-cased,[7343],7,6
0,caja,bert-base-spanish-wwm-cased,[5976],8,7
0,caja,bert-base-spanish-wwm-cased,[5976],8,7
0,caja,bert-base-spanish-wwm-cased,[5976],8,8
0,caja,bert-base-spanish-wwm-cased,[5976],8,7
0,caja,bert-base-spanish-wwm-cased,[5976],8,8
0,caja,bert-base-spanish-wwm-cased,[5976],7,7
0,caja,bert-base-spanish-wwm-cased,[5976],7,8
0,caja,bert-base-spanish-wwm-cased,[5976],7,7
0,caja,bert-base-spanish-wwm-cased,[5976],7,8
0,caja,bert-base-spanish-wwm-cased,[5976],7,8
0,caja,bert-base-spanish-wwm-cased,[5976],7,7
0,caja,bert-base-spanish-wwm-cased,[5976],7,8
0,caja,bert-base-spanish-wwm-cased,[5976],8,7
0,caja,bert-base-spanish-wwm-cased,[5976],8,8
0,caja,bert-base-spanish-wwm-cased,[5976],7,8
0,calle,bert-base-spanish-wwm-cased,[3783],8,8
0,calle,bert-base-spanish-wwm-cased,[3783],8,10
0,calle,bert-base-spanish-wwm-cased,[3783],8,9
0,calle,bert-base-spanish-wwm-cased,[3783],8,10
0,calle,bert-base-spanish-wwm-cased,[3783],8,9
0,calle,bert-base-spanish-wwm-cased,[3783],10,9
0,campo,bert-base-spanish-wwm-cased,[3756],6,6
0,campo,bert-base-spanish-wwm-cased,[3756],6,7
0,campo,bert-base-spanish-wwm-cased,[3756],6,6
0,campo,bert-base-spanish-wwm-cased,[3756],6,7
0,campo,bert-base-spanish-wwm-cased,[3756],6,6
0,campo,bert-base-spanish-wwm-cased,[3756],7,6
0,canal,bert-base-spanish-wwm-cased,[7253],8,8
0,canal,bert-base-spanish-wwm-cased,[7253],8,8
0,canal,bert-base-spanish-wwm-cased,[7253],8,7
0,canal,bert-base-spanish-wwm-cased,[7253],8,8
0,canal,bert-base-spanish-wwm-cased,[7253],8,9
0,canal,bert-base-spanish-wwm-cased,[7253],8,8
0,canal,bert-base-spanish-wwm-cased,[7253],8,7
0,canal,bert-base-spanish-wwm-cased,[7253],8,8
0,canal,bert-base-spanish-wwm-cased,[7253],8,9
0,canal,bert-base-spanish-wwm-cased,[7253],8,7
0,canal,bert-base-spanish-wwm-cased,[7253],8,8
0,canal,bert-base-spanish-wwm-cased,[7253],8,9
0,canal,bert-base-spanish-wwm-cased,[7253],7,8
0,canal,bert-base-spanish-wwm-cased,[7253],7,9
