Sentence_1,Sentence_2,Word,Same_sense,Distance,Layer,S1_ntokens,S2_ntokens,token_diffs
Compró el aceite de oliva,Compró el aceite de cocina,aceite,True,0.0,0,8,8,0
Compró el aceite de oliva,Compró el aceite de motor,aceite,False,0.0,0,8,8,0
Compró el aceite de oliva,Compró el aceite de carro,aceite,False,0.0,0,8,8,0
Compró el aceite de cocina,Compró el aceite de motor,aceite,False,0.0,0,8,8,0
Compró el aceite de cocina,Compró el aceite de carro,aceite,False,0.0,0,8,8,0
Compró el aceite de motor,Compró el aceite de carro,aceite,True,0.0,0,8,8,0
Le gustó el ala sureste,Le gustó el ala remodelada,ala,True,0.0,0,7,7,0
Le gustó el ala sureste,Le gustó el ala plumosa,ala,False,0.0,0,7,7,0
Le gustó el ala sureste,Le gustó el ala de águila,ala,False,0.0,0,7,7,0
Le gustó el ala remodelada,Le gustó el ala plumosa,ala,False,0.0,0,8,8,0
Le gustó el ala remodelada,Le gustó el ala de águila,ala,False,0.0,0,8,8,0
Le gustó el ala plumosa,Le gustó el ala de águila,ala,True,0.0,0,9,9,0
Evaluó el algodón cultivado,Evaluó el algodón sembrado,algodón,True,0.0,0,9,9,0
Evaluó el algodón cultivado,Evaluó el algodón endulzado,algodón,False,0.0,0,9,9,0
Evaluó el algodón cultivado,Evaluó el algodón caramelizado,algodón,False,0.0,0,9,9,0
Evaluó el algodón sembrado,Evaluó el algodón endulzado,algodón,False,0.0,0,9,9,0
Evaluó el algodón sembrado,Evaluó el algodón caramelizado,algodón,False,0.0,0,9,9,0
Evaluó el algodón endulzado,Evaluó el algodón caramelizado,algodón,True,0.0,0,10,10,0
Se trataba del arte de mentir,Se trataba del arte de guerra,arte,True,0.0,0,8,8,0
Se trataba del arte de mentir,Se trataba del arte renacentista,arte,False,0.0,0,8,8,0
Se trataba del arte de mentir,Se trataba del arte abstracto,arte,False,0.0,0,8,8,0
Se trataba del arte de guerra,Se trataba del arte renacentista,arte,False,0.0,0,8,8,0
Se trataba del arte de guerra,Se trataba del arte abstracto,arte,False,0.0,0,8,8,0
Se trataba del arte renacentista,Se trataba del arte abstracto,arte,True,0.0,0,9,9,0
Era un banco financiero,Era un banco exitoso,banco,True,0.0,0,6,6,0
Era un banco financiero,Era un banco plástico,banco,False,0.0,0,6,6,0
Era un banco financiero,Era un banco cómodo,banco,False,0.0,0,6,6,0
Era un banco exitoso,Era un banco plástico,banco,False,0.0,0,6,6,0
Era un banco exitoso,Era un banco cómodo,banco,False,0.0,0,6,6,0
Era un banco plástico,Era un banco cómodo,banco,True,0.0,0,6,6,0
Disfrutó el baño caliente,Disfrutó el baño frío,baño,True,0.0,0,7,7,0
Disfrutó el baño caliente,Disfrutó el baño remodelado,baño,False,0.0,0,7,7,0
Disfrutó el baño caliente,Disfrutó el baño privado,baño,False,0.0,0,7,7,0
Disfrutó el baño frío,Disfrutó el baño remodelado,baño,False,0.0,0,7,7,0
Disfrutó el baño frío,Disfrutó el baño privado,baño,False,0.0,0,7,7,0
Disfrutó el baño remodelado,Disfrutó el baño privado,baño,True,0.0,0,8,8,0
Era una cadena de oro,Era una cadena elegante,cadena,True,0.0,0,7,7,0
Era una cadena de oro,Era una cadena de hierro,cadena,False,0.0,0,7,7,0
Era una cadena de oro,Era una cadena de reo,cadena,False,0.0,0,7,7,0
Era una cadena de oro,Era una cadena de radio,cadena,False,0.0,0,7,7,0
Era una cadena de oro,Era una cadena televisiva,cadena,False,0.0,0,7,7,0
Era una cadena elegante,Era una cadena de hierro,cadena,False,0.0,0,6,6,0
Era una cadena elegante,Era una cadena de reo,cadena,False,0.0,0,6,6,0
Era una cadena elegante,Era una cadena de radio,cadena,False,0.0,0,6,6,0
Era una cadena elegante,Era una cadena televisiva,cadena,False,0.0,0,6,6,0
Era una cadena de hierro,Era una cadena de reo,cadena,True,0.0,0,7,7,0
Era una cadena de hierro,Era una cadena de radio,cadena,False,0.0,0,7,7,0
