Sentence,Word,Sense_id,Gender,Context_cue
Era una función biológica,función,1,female,adjective
Era una función social,función,1,female,adjective
Era una función lineal,función,2,female,adjective
Era una función matemática,función,2,female,adjective
Le gustó la compañía de inversiones,compañía,1,female,adjective
Le gustó la compañía financiera,compañía,1,female,adjective
Le gustó la compañía teatral,compañía,2,female,adjective
Le gustó la compañía de actores,compañía,2,female,adjective
Él tiene sangre coagulada,sangre,1,female,adjective
Él tiene sangre diluida,sangre,1,female,adjective
Él tiene sangre noble,sangre,2,female,adjective
Él tiene sangre real,sangre,2,female,adjective
Era un cura compasivo,cura,1,male,adjective
Era un cura sabio,cura,1,male,adjective
Era una cura efectiva,cura,2,female,adjective
Era una cura potente,cura,2,female,adjective
Era un banco financiero,banco,1,male,adjective
Era un banco exitoso,banco,1,male,adjective
Era un banco plástico,banco,2,male,adjective
Era un banco cómodo,banco,2,male,adjective
Llamó al guardia de seguridad,guardia,1,male,adjective
Llamó al guardia de noche,guardia,1,male,adjective
Llamó a la guardia nacional,guardia,2,female,adjective
Llamó a la guardia costanera,guardia,2,female,adjective
Se trataba de la capa de superhéroe,capa,1,female,adjective
Se trataba de la capa de tela,capa,1,female,adjective
Se trataba de la capa atmosférica,capa,2,female,adjective
Se trataba de la capa de ozono,capa,2,female,adjective
Era una columna de mármol,columna,1,female,adjective
Era una columna decorativa,columna,1,female,adjective
Era una columna vertebral,columna,2,female,adjective
Era una columna encorvada,columna,2,female,adjective
Le gustó la pasta italiana,pasta,1,female,adjective
Le gustó la pasta caliente,pasta,1,female,adjective
Le gustó la pasta dental,pasta,2,female,adjective
Le gustó la pasta blanqueadora,pasta,2,female,adjective
Era un patrón orgulloso,patrón,1,male,adjective
Era un patrón exigente,patrón,1,male,adjective
Era un patrón geométrico,patrón,2,male,adjective
Era un patrón complicado,patrón,2,male,adjective
Era una pista de baile,pista,1,female,adjective
Era una pista resbalosa,pista,1,female,adjective
Era una pista clave,pista,2,female,adjective
Era una pista falsa,pista,2,female,adjective
Le gustó la tabla de madera,tabla,1,female,adjective
Le gustó la tabla astillada,tabla,1,female,adjective
Le gustó la tabla de ajedrez,tabla,2,female,adjective
Le gustó la tabla de juego,tabla,2,female,adjective
Tenía una muñeca fracturada,muñeca,1,female,adjective
Tenía una muñeca lesionada,muñeca,1,female,adjective
Tenía una muñeca preciosa,muñeca,2,female,adjective
Tenía una muñeca plástica,muñeca,2,female,adjective
Era una sierra eléctrica,sierra,1,female,adjective
Era una sierra automática,sierra,1,female,adjective
Era una sierra forestada,sierra,2,female,adjective
Era una sierra nevada,sierra,2,female,adjective
Era una sirena mitológica,sirena,1,female,adjective
Era una sirena coqueta,sirena,1,female,adjective
Era una sirena policíaca,sirena,2,female,adjective
Era una sirena ruidosa,sirena,2,female,adjective
